9th March 2024      ,Modular Panels                                                   ,Fix~ ,Refactored the codebase to allow for modular panel addons                                                                        ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
10th March 2024     ,Various Fixes                                                    ,Fix~ ,Fixed various bugs and issues                                                                                                    ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
11th March 2024     ,Added Stremio                                                    ,Add+ ,Added Stremio Panel                                                                                                              ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
12th March 2024     ,Added Plugin Configuration                                       ,Add+ ,Added Plugin configuration to allow for quick easy editing and adding of addons to Stremio                                       ,Stremio             ,https://i.imgur.com/546Gr2o.png
13th March 2024     ,Added Flix Vision                                                ,Add+ ,Added Flix Vision Panel                                                                                                          ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
15th March 2024     ,Added RTX Widgets                                                ,Add+ ,Added RTX Widgets (Movie Banners / Sport Top / Sport TV Today) to Android Webviews                                               ,Android Webviews    ,https://i.imgur.com/N55kp3Z.png
16th March 2024     ,Updated Stremio API                                              ,Fix~ ,Updated Stremio API to not rely on Firebase functions and remove the need to clear cache on plugin updates every time            ,Stremio             ,https://i.imgur.com/546Gr2o.png
23rd March 2024     ,Updated Store                                                    ,Fix~ ,Updated Store to allow for odd data / also account for YouTube videos in Media Viewer                                            ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
24th March 2024     ,Added CinemaHD                                                   ,Add+ ,Added CinemaHD Panel                                                                                                             ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
24th March 2024     ,Added HDO Box                                                    ,Add+ ,Added HDO Box Panel                                                                                                              ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
25th March 2024     ,Updated Flix Vision                                              ,Fix~ ,Updated Flix Vision to add support for users M3U to be loaded instead of the default and add remote updating of application      ,Flix Vision         ,https://i.imgur.com/CQxNJjK.png
25th March 2024     ,Added Sparkle TV                                                 ,Add+ ,Added Sparkle TV Panel                                                                                                           ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
25th March 2024     ,Updated Sparkle TV                                               ,Fix~ ,Updated Sparkle TV Panel to allow for versions 1.9.2 / 1.9.5 and 1.9.5-X                                                         ,Sparkle TV          ,https://i.imgur.com/qKEbeXG.png
25th March 2024     ,Added NexTv IPTV                                                 ,Add+ ,Added NexTv IPTV Panel                                                                                                           ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
26th March 2024     ,Added RTX Widgets                                                ,Add+ ,Added RTX Widgets (Sideshow Banners) to Android Webviews                                                                         ,Android Webviews    ,https://i.imgur.com/N55kp3Z.png
26th March 2024     ,Updated Sparkle TV                                               ,Fix~ ,Included support to choose between IMDB and Slideshow Backgrounds                                                                ,Sparkle TV          ,https://i.imgur.com/qKEbeXG.png
26th March 2024     ,Added IBO Solutions                                              ,Add+ ,Added IBO Solutions Panel (IBO / VU / BOB / etc)                                                                                 ,Cockpit             ,https://i.imgur.com/JnxdiHy.png
26th March 2024     ,Updated Languages for IBO Soluctions                             ,Fix~ ,Updated the Languages section of the panel to use x-editable to make it simpler to understand and use                            ,IBO Solutions       ,https://i.imgur.com/z13H3dJ.png
1st April 2024      ,Updated Remote Update and TMDB Keys                              ,Fix~ ,Updated Remote Update and TMDB Keys to allow for easier updating of the application and to allow for more API calls              ,Cinema HD           ,https://i.imgur.com/ryHBvdy.png
1st April 2024      ,Added Helper tools for Enigmatization                            ,Fix~ ,Added Helper tools for Enigmatization to allow for easier editing of IBO Solution app smali files                                ,IBO Solutions       ,https://i.imgur.com/z13H3dJ.png
14th April 2024     ,Updated XCIPTV API to V7.0                                       ,Add+ ,Added the additional API from the 7.0-907 update.                                                                                ,XCIPTV              ,https://i.imgur.com/piaorjB.png
15th April 2024     ,Fixed a bugs in Customization                                    ,Fix+ ,Fixed a bug where saving Settings tab wouldnt work correctly and saving Portals would redirect to the wrong place.               ,XCIPTV              ,https://i.imgur.com/piaorjB.png
15th April 2024     ,Updated Visualizer                                               ,Fix+ ,Updated the Icons for the Theme Visualizer to match version 7.0.0-909                                                            ,XCIPTV              ,https://i.imgur.com/piaorjB.png
